date,open,high,low,close,volume,korcom,forvol,standard deviation5,standard deviation10,standard deviation20,standard deviation60,standard deviation120,ma5,ma10,ma20,ma60,ma120,EMAFast,EMASlow,MACD,MACDSignal,MACDiff,RSI,upper_bb,mid_bb,lower_bb,fast_k,slow_k,slow_d
20140122,6300,6300,6170,6240,1016913,-95422,25779489,98.46826900072935,200.18990983563583,371.33913071476763,751.7692280362003,707.2516790365787,6232.0,6392.0,6706.5,7603.833333333332,7814.75,6455.121503010353,6828.397005052113,-373.2755020417599,-358.52593748769493,-14.749564554064932,17.05426356589147,7449.178261429535,371.33913071476763,5963.821738570465,19.607843137254907,12.848624551770506,8.88967827048925
20140123,6260,6260,6160,6170,1105704,-199392,25780599,52.0,182.81137820168635,378.4692854116424,764.747216768703,722.4879852903778,6186.0,6340.0,6661.0,7565.166666666668,7803.333333333332,6411.256656393376,6779.626856529734,-368.3702001363581,-360.4947900174276,-7.875410118930517,17.460317460317462,7417.938570823285,378.4692854116424,5904.061429176715,12.745098039215687,12.814115714252234,10.197824085076913
20140124,6120,6210,6080,6100,1316995,-202930,25857880,62.609903369994115,155.74337867145428,384.4424534309383,775.4933196932201,738.5424083212483,6170.0,6282.0,6612.0,7523.666666666668,7791.333333333332,6363.371016948241,6729.284126416421,-365.91310946817885,-361.5784539075778,-4.334655560600993,20.560747663551396,7380.884906861875,384.4424534309383,5843.1150931381235,7.6923076923076925,11.106846373604052,10.500831514585961
20140127,5980,6010,5930,5930,1171774,-67342,25809404,115.34296684236973,143.0419518882485,390.1983469980353,788.4649467301282,757.6617493241623,6136.0,6213.0,6550.5,7478.833333333332,7776.416666666668,6296.698552802359,6670.0778948300185,-373.3793420276606,-363.93863153159447,-9.440710496066174,14.285714285714285,7330.896693996071,390.1983469980353,5770.103306003929,0.0,7.404564249069367,9.468742426080427
20140128,5930,6700,5910,6450,4983814,2244899,25498456,170.57549648176314,153.45683432157722,364.58880948268165,785.7915153241838,767.185965431861,6178.0,6221.0,6515.0,7443.166666666668,7765.833333333332,6320.283390832764,6653.775828546313,-333.4924377135503,-357.8493927679856,24.35695505443533,40.588235294117645,7244.177618965363,364.58880948268165,5785.822381034637,65.06024096385542,26.62312315399805,15.186869335386305
20140129,6490,6870,6360,6820,2943219,962163,25669186,311.9358908493859,233.36880682730487,316.65241195986374,779.0955582525229,771.9136393837898,6294.0,6263.0,6487.5,7416.333333333332,7759.0,6397.162869166185,6666.088730135477,-268.92586096929244,-340.0646864082471,71.1388254389546,53.26633165829146,7120.804823919728,316.65241195986374,5854.195176080272,94.79166666666666,49.34597099155425,26.573236554108963
20140203,6750,6890,6610,6740,1867402,635214,25165826,347.87354024127785,272.36189160747136,291.54759474226375,777.7121718361772,777.1649867735472,6408.0,6297.0,6470.0,7392.666666666668,7752.5,6449.907043140618,6671.563639014331,-221.65659587371283,-316.38306830134024,94.72647242762741,51.45631067961165,7053.0951894845275,291.54759474226375,5886.9048105154725,84.6938775510204,61.12860651137631,38.0916932065314
20140204,6620,6680,6560,6630,1056873,179473,24883392,317.2759051677262,286.1398259592677,269.13936910084203,776.8729876169014,783.5687545171878,6514.0,6342.0,6452.0,7366.833333333332,7745.083333333332,6477.613651888215,6668.484850939196,-190.87119905098012,-291.28069445126823,100.40949540028817,50.23696682464455,6990.278738201685,269.13936910084203,5913.721261798315,73.46938775510205,65.2422002592849,47.1418622241159
20140205,6700,7060,6700,6980,2511599,1079983,24643512,178.28067758453236,330.1211898682058,286.97517314220624,772.3121130734137,786.2919261035414,6724.0,6430.0,6464.5,7348.0,7740.916666666668,6554.90385929003,6691.560047165922,-136.656187875893,-260.3557931361932,123.6996052603002,63.80090497737557,7038.4503462844095,286.97517314220624,5890.54965371559,93.04347826086956,74.5092929264798,56.26433912490387
20140206,7040,7210,7000,7150,1665944,569990,24450260,182.93168123646598,385.9132026764568,317.0662391362399,768.4299288519915,787.5922520921706,6864.0,6521.0,6483.0,7334.333333333332,7738.666666666668,6646.457111706947,6725.518562190668,-79.06145048372036,-224.09692460569863,145.03547412197833,65.95744680851064,7117.13247827248,317.0662391362399,5848.86752172752,95.3846153846154,81.46773374585833,64.66547066522203
20140207,7070,7420,6920,7380,2429073,454625,24653930,271.63210414087655,449.2493739561581,368.3921144650077,765.9614691498152,788.2180853038465,6976.0,6635.0,6513.5,7327.166666666668,7736.5,6759.3098637520325,6773.998668695062,-14.688804943029936,-182.21530067316488,167.52649573013494,68.99224806201549,7250.284228930013,368.3921144650077,5776.715771069987,97.35099337748345,86.76215362306671,72.03103165117024
20140210,7350,7580,7320,7400,1488440,228302,24796200,284.9140221189544,472.8593871332153,414.956624239208,763.2299784468121,788.5681644601573,7108.0,6758.0,6549.0,7320.0,7735.5,6857.8775770209495,6820.369137680613,37.508439340337645,-138.27055267046438,175.77899201080203,75.63025210084034,7378.913248478416,414.956624239208,5719.086751521584,89.22155688622755,87.58195471078697,77.21467267104248
20140211,7300,7540,6520,7400,4821875,1073566,24918710,169.75276139138356,452.3450010777172,454.1420482624344,755.8226570359012,789.0639848721293,7262.0,6888.0,6585.0,7307.666666666668,7733.833333333332,6941.281026710036,6863.304757111679,77.97626959835634,-95.02118821670021,172.9974578150566,78.26086956521738,7493.284096524871,454.1420482624344,5676.715903475129,89.22155688622755,88.12848876926716,80.8526113704507
20140212,7400,7400,7070,7350,1819812,424720,24926280,94.78396488858229,337.66847646767377,483.8519918322123,750.9191404908231,789.7443283536313,7336.0,7030.0,6621.5,7297.333333333332,7731.75,7004.160868754645,6899.356256584888,104.80461216975708,-55.05602813940876,159.8606403091659,75.1131221719457,7589.203983664423,483.8519918322123,5653.796016335577,86.22754491017966,87.49484081623798,83.0666878523798
20140213,7350,7690,7340,7470,1702185,397291,25026220,39.496835316262995,298.8912845835422,513.734123842284,748.071891969934,789.9497874338142,7400.0,7132.0,6676.5,7291.333333333332,7731.0,7075.828427407777,6941.6261635045275,134.20226390325024,-17.204369730876948,151.4066336341272,76.39484978540773,7703.968247684568,513.734123842284,5649.031752315432,87.64044943820225,87.5433770235594,84.55891757610635
