date,open,high,low,close,volume
20110902,294500,297500,288000,290000,18077
20110905,282000,284000,272000,272000,38509
20110906,264500,269500,260000,262500,39270
20110907,268000,274000,267000,272500,39353
20110908,277000,278000,266500,272500,32948
20110909,268000,271500,265500,268500,20864
20110914,264500,271000,261000,263000,26102
20110915,266000,269500,250000,251000,61142
20110916,256000,264500,254500,263500,26923
20110919,263500,263500,252500,253000,41746
20110920,251000,256500,250500,256000,51310
20110921,255000,267000,255000,263500,33830
20110922,254000,257500,248000,248000,55275
20110923,230000,234500,220000,220000,106591
20110926,223000,224000,201500,205500,62436
20110927,212000,220000,210000,214500,36167
20110928,214500,220000,213500,215000,38205
20110929,215000,220000,210000,220000,30327
20110930,229000,229000,221500,225000,26976
20111004,217500,217500,203500,206000,58914
20111005,207500,213000,203000,212000,32881
20111006,217000,225000,215000,224000,43868
20111007,230000,230500,224000,229000,25411
20111010,227000,233000,226500,227500,19590
20111011,234000,242000,231500,241500,39617
20111012,238500,251000,238000,246500,28905
20111013,250000,253000,246000,246000,24957
20111014,243000,253000,240000,246500,19925
20111017,252000,264000,249500,260000,38166
20111018,253000,267500,251000,267000,36797
20111019,269000,270500,260500,270000,31718
20111020,270000,276500,265000,270000,49658
20111021,270000,277500,263000,276000,36810
20111024,273000,284000,273000,283500,35895
20111025,281500,284000,276500,280500,42727
20111026,276000,278000,269000,272500,26177
20111027,275000,280500,273000,280000,28179
20111028,289000,293000,281000,285000,48488
20111031,282000,286000,272500,272500,19018
20111101,267000,274500,261000,264000,60235
20111102,258000,275000,256500,258500,60567
20111103,260000,260500,248000,248500,51443
20111104,254500,257000,250500,253000,65714
20111107,253500,255000,251000,253000,24566
20111108,255500,255500,252500,253000,15955
20111109,256000,258000,254000,254500,30527
20111110,243000,245000,233500,233500,67436
20111111,238500,243500,235500,242500,25777
20111114,249500,255000,246000,253000,28571
20111115,252500,252500,248000,249000,23832
20111116,251000,251000,239500,239500,28171
20111117,239500,242000,235500,241500,32556
20111118,236000,237000,234000,236500,24068
20111121,234000,235000,226000,227500,33423
20111122,227500,234500,222000,227500,35906
20111123,226000,227500,222000,223000,25469
20111124,221000,225000,221000,224000,18051
20111125,223000,223500,220000,221000,21617
20111128,223500,227500,217500,219000,60783
20111129,222000,232500,221500,231000,66005
20111130,232000,236500,226000,229500,46456
20111201,240000,241000,235500,237500,57706
20111202,243500,243500,235000,238000,37079
20111205,241500,259500,237500,259000,88857
20111206,258500,258500,248500,252500,39537
20111207,252500,265000,249500,265000,75973
