date,open,high,low,close,volume,roe,roa,eps,bps,sales,margin,net_margin,dps,debt_ratio,run_money,invest_money,financial_money
20151221,2223000,2237000,2207000,2224000,1137,2.91,1.79,2042,70228,4097.58,127.44,-444.5,450.8,60,2183,-2573,1762
20151222,2230000,2230000,2209000,2222000,1546,2.91,1.79,2042,70228,4097.58,127.44,-444.5,450.8,60,2183,-2573,1762
20151223,2223000,2234000,2217000,2229000,2008,2.91,1.79,2042,70228,4097.58,127.44,-444.5,450.8,60,2183,-2573,1762
20151224,2234000,2234000,2206000,2227000,993,2.91,1.79,2042,70228,4097.58,127.44,-444.5,450.8,60,2183,-2573,1762
20151228,2233000,2268000,2225000,2268000,3302,2.91,1.79,2042,70228,4097.58,127.44,-444.5,450.8,60,2183,-2573,1762
20151229,2280000,2310000,2155000,2198000,5130,2.91,1.79,2042,70228,4097.58,127.44,-444.5,450.8,60,2183,-2573,1762
20151230,2214000,2282000,2214000,2279000,2513,2.91,1.79,2042,70228,4097.58,127.44,-444.5,450.8,60,2183,-2573,1762
20160104,2265000,2293000,2243000,2286000,3072,2.86,1.8,1893,66249,4200.44,110.69,-379.86,452.0,56,1136,-591,-1360
20160105,2286000,2295000,2255000,2267000,3549,2.86,1.8,1893,66249,4200.44,110.69,-379.86,452.0,56,1136,-591,-1360
20160106,2289000,2304000,2254000,2277000,2206,2.86,1.8,1893,66249,4200.44,110.69,-379.86,452.0,56,1136,-591,-1360
20160107,2262000,2333000,2254000,2276000,8921,2.86,1.8,1893,66249,4200.44,110.69,-379.86,452.0,56,1136,-591,-1360
20160108,2278000,2279000,2231000,2251000,2412,2.86,1.8,1893,66249,4200.44,110.69,-379.86,452.0,56,1136,-591,-1360
20160111,2240000,2280000,2215000,2280000,5136,2.86,1.8,1893,66249,4200.44,110.69,-379.86,452.0,56,1136,-591,-1360
20160112,2279000,2324000,2260000,2294000,1375,2.86,1.8,1893,66249,4200.44,110.69,-379.86,452.0,56,1136,-591,-1360
20160113,2298000,2350000,2282000,2324000,1470,2.86,1.8,1893,66249,4200.44,110.69,-379.86,452.0,56,1136,-591,-1360
20160114,2400000,2400000,2251000,2298000,1971,2.86,1.8,1893,66249,4200.44,110.69,-379.86,452.0,56,1136,-591,-1360
20160115,2306000,2326000,2255000,2268000,1575,2.86,1.8,1893,66249,4200.44,110.69,-379.86,452.0,56,1136,-591,-1360
20160118,2267000,2280000,2223000,2255000,1927,2.86,1.8,1893,66249,4200.44,110.69,-379.86,452.0,56,1136,-591,-1360
20160119,2266000,2279000,2240000,2271000,887,2.86,1.8,1893,66249,4200.44,110.69,-379.86,452.0,56,1136,-591,-1360
20160120,2285000,2285000,2200000,2200000,1861,2.86,1.8,1893,66249,4200.44,110.69,-379.86,452.0,56,1136,-591,-1360
20160121,2182000,2278000,2181000,2258000,1605,2.86,1.8,1893,66249,4200.44,110.69,-379.86,452.0,56,1136,-591,-1360
20160122,2276000,2330000,2264000,2326000,1213,2.86,1.8,1893,66249,4200.44,110.69,-379.86,452.0,56,1136,-591,-1360
20160125,2326000,2349000,2286000,2306000,1699,2.86,1.8,1893,66249,4200.44,110.69,-379.86,452.0,56,1136,-591,-1360
20160126,2282000,2338000,2250000,2262000,990,2.86,1.8,1893,66249,4200.44,110.69,-379.86,452.0,56,1136,-591,-1360
20160127,2295000,2309000,2265000,2296000,988,2.86,1.8,1893,66249,4200.44,110.69,-379.86,452.0,56,1136,-591,-1360
