date,open,high,low,close,volume,korcom,forvol
20140110,22100,22450,22050,22350,109266,-1420,4079197
20140113,22450,22550,22100,22350,68237,-270,4066533
20140114,22050,22400,21950,21950,105087,17566,4051433
20140115,22050,22400,21900,22100,114273,-10648,4059259
20140116,22150,22250,21900,22250,97443,11138,4049889
20140117,22200,22500,21800,21850,105941,-25805,4047194
20140120,21850,22000,21500,22000,109786,1365,4059083
20140121,21950,22000,21450,21550,164873,-51458,4054153
20140122,21600,22150,21500,22100,111086,10346,4061553
20140123,22100,22100,21650,21650,87931,-13249,4027633
20140124,21600,21950,21550,21850,114182,31260,4028073
20140127,21500,21750,21200,21750,86510,31460,4022063
20140128,21700,22250,21450,22050,123457,13920,4021583
20140129,22150,22200,21200,21200,1227529,-785266,4695913
20140203,21350,21700,21300,21600,378613,34780,4519134
20140204,21250,21750,21250,21350,215434,53482,4496814
20140205,21500,22250,21400,22000,262796,103697,4463134
20140206,22100,22250,21750,22000,115011,20847,4443493
20140207,22150,22750,22150,22700,136165,46265,4450960
20140210,22950,22950,22400,22450,84255,10885,4452860
20140211,22450,22950,22300,22900,128438,31823,4455421
20140212,23100,23100,22200,22600,188357,31180,4475641
20140213,22550,22800,22350,22400,82210,-7092,4471151
20140214,22300,22750,22200,22500,120097,-4379,4490491
20140217,22650,22650,22200,22350,62131,4389,4498901
20140218,22350,22600,22200,22500,60916,4525,4504021
20140219,22350,22600,22150,22600,124051,18138,4495861
20140220,22400,22500,22150,22300,117282,6633,4479691
20140221,22300,22500,22100,22150,72842,-23961,4483751
20140224,22100,22250,21900,22000,77789,6560,4488761
20140225,22100,22250,21800,22100,102793,22478,4501031
20140226,22200,22200,21700,21900,188466,4765,4478471
20140227,21750,21800,21350,21600,183875,-18028,4473321
20140228,21400,21550,21250,21500,157514,-62191,4500387
20140303,21450,21900,21350,21400,144634,-15005,4525637
20140304,21350,21600,21350,21450,72484,14040,4518997
20140305,21600,21700,21300,21700,160987,-6173,4508477
20140306,21650,21700,21350,21550,74712,21052,4501747
20140307,21550,21600,21400,21600,112746,-3260,4494107
20140310,21600,21600,21050,21400,207475,-16490,4485197
20140311,21350,21350,21000,21250,183503,-12912,4458137
20140312,21150,21200,20400,20650,307385,-42559,4442557
20140313,20550,20650,19600,20200,959415,-270802,4430850
20140314,19900,20250,19700,19850,445211,-38162,4353450
20140317,19850,20200,19450,19950,486953,-85120,4370800
20140318,20050,20150,19800,20000,356927,-54540,4362386
20140319,20100,20200,19600,19900,401344,-45939,4373117
20140320,19800,20000,19250,19550,472668,46825,4337947
20140321,19650,20300,19600,19750,383032,-22500,4348941
20140324,19800,20350,19800,20000,262276,25298,4349852
20140325,20200,20550,20050,20400,229288,21450,4377102
20140326,20700,21200,20450,20600,477042,-68182,4474135
20140327,20700,20850,20250,20450,250755,22369,4451105
20140328,20550,20950,20500,20950,217742,24802,4474465
20140331,21000,21400,20850,21050,150827,-4684,4472770
20140401,21050,21100,20500,20700,193568,-71798,4493800
20140402,20800,20800,20300,20400,192727,-64950,4519710
20140403,20350,20550,20300,20500,114549,-55215,4555243
20140404,20500,20500,20100,20300,132890,-22081,4565693
20140407,20100,20350,20050,20250,80106,-6857,4573063
20140408,20150,20300,19950,20200,97209,-25483,4575987
20140409,20250,20650,20200,20550,195855,3491,4607567
20140410,20700,20700,20200,20400,109084,-33353,4623367
20140411,20200,20650,20200,20600,234198,-29735,4675524
20140414,20500,20800,20400,20700,126896,-50870,4713520
20140415,20600,20800,20500,20600,251132,-95990,4814380
20140416,20600,20600,20300,20550,159217,-43163,4792390
20140417,20550,20700,20250,20600,165176,-1350,4779310
20140418,20650,20900,20450,20650,117907,54967,4779060
20140421,20700,20850,20400,20650,120132,-3344,4762884
20140422,20600,20700,20400,20700,84424,-8082,4788154
20140423,20750,21100,20650,21000,196358,25076,4795641
20140424,20950,21350,20900,21200,398255,110558,4715614
20140425,21100,21200,20700,20950,273825,22927,4698294
20140428,20800,21100,20750,20900,103495,-21127,4706034
20140429,21000,21150,20850,20900,90700,64228,4664094
20140430,20950,21500,20800,20900,400552,103564,4465814
20140502,20900,21500,20850,20950,336698,23118,4379514
20140507,21050,21450,21000,21000,240536,11451,4309279
20140508,21000,21400,20900,20900,217476,19584,4249839
20140509,20900,21000,20650,20900,164467,19290,4233009
20140512,20850,21300,20800,21100,174180,-5328,4214099
20140513,21150,21450,21100,21200,167556,17623,4190827
20140514,21250,21750,21150,21600,294126,25895,4200287
20140515,21600,21750,21500,21650,85745,22466,4167877
20140516,21650,21650,21200,21450,131088,25817,4127567
20140519,21450,21550,21100,21450,188215,31107,4101507
20140520,21400,21550,21100,21300,153953,57125,4058687
20140521,21300,21700,21100,21500,202687,-11388,4010617
20140522,21500,22450,21500,21950,608293,-836,4112509
20140523,22100,22350,21800,21800,301991,36801,4037609
20140526,21950,22700,21900,22350,413336,-70348,4059789
20140527,22200,23150,21950,22950,1094079,-226606,4059529
20140528,22750,23450,22650,23200,488426,242716,3857679
20140529,23200,23500,22850,23150,363403,260233,3710689
20140530,23200,23700,23200,23350,418508,234042,3550736
20140602,23500,23500,22750,23250,357691,46176,3520929
20140603,23150,23400,22750,23300,334630,81375,3405584
20140605,23150,23750,23050,23350,371655,164991,3222053
20140609,23500,23900,23500,23650,291330,114921,3170925
20140610,23850,24050,23300,23700,368020,176694,3098627
20140611,23750,24200,23500,23850,354747,10520,3093344
20140612,23800,24250,23750,23900,332564,59966,7119553
20140613,23950,24100,23550,23700,141053,48802,7082016
20140616,23700,23800,23400,23600,152173,79923,7053226
20140617,23550,23850,23300,23700,203215,83578,7061178
20140618,23650,23800,23150,23550,148419,43344,7043778
20140619,23650,23750,23200,23450,130488,39864,7011805
20140620,23500,23650,23200,23300,221776,27306,7043150
20140623,23350,23700,23250,23400,229427,27490,7098828
20140624,23450,23450,22350,23000,355402,75305,7063721
20140625,22800,22950,22050,22750,518816,187470,7011136
20140626,22750,22900,22450,22600,119807,4929,7033437
20140627,22700,22700,22300,22450,96539,-1914,7031218
20140630,22350,22600,22100,22450,184389,-1156,7046570
20140701,22400,22450,22050,22300,134282,-2781,7042264
20140702,22400,22400,22050,22150,154681,-20619,7052968
20140703,22150,22200,21750,21900,264282,-45162,7039163
20140704,22000,22000,21200,21650,269556,4429,6991704
20140707,21500,21950,21450,21600,174482,15482,6987667
20140708,21400,22050,21400,21750,209627,56282,6957511
20140709,21600,21800,21100,21650,158623,32891,6919149
20140710,21650,21700,21150,21250,272195,113452,6848559
20140711,21250,21350,21100,21200,73582,24238,6832354
20140714,21450,21450,21150,21250,117890,8205,6826276
20140715,21350,21500,21200,21350,127216,19546,6784190
20140716,21350,22100,21350,21700,308890,29628,6744250
20140717,21900,22500,21750,22300,443589,144313,6622725
20140718,22100,22800,22100,22600,319083,52104,6580351
20140721,22550,23200,22550,22900,341420,-129634,6562167
20140722,22900,23050,22550,22800,198241,67937,6500953
20140723,22850,23400,22700,23200,249396,114445,6452358
20140724,23250,23500,22900,23150,196761,47511,6438491
20140725,23050,23400,22700,23100,170536,55176,6439116
20140728,23000,23350,22650,22800,131941,-29731,6450426
20140729,22850,23450,22800,23150,252228,74985,6428726
20140730,23400,23450,22600,23150,240177,-29185,6453490
20140731,23100,23100,22350,22800,265221,17238,6444888
20140801,22900,23300,22350,22950,300930,37156,6460421
20140804,22900,23250,22600,22950,163385,65191,6414670
20140805,22850,23000,22150,22250,221086,-11375,6364861
20140806,22150,22600,22000,22200,187340,80693,6345048
20140807,22100,22150,21500,21800,175076,3483,6329646
20140808,21750,21750,21100,21300,364110,91670,6245372
20140811,21400,22050,21400,21650,262736,25230,6229140
20140812,21600,21900,21200,21500,197097,-9304,6198392
20140813,21350,21600,20600,21150,439922,-34488,6199260
20140814,21100,21350,20900,21100,163574,-83087,6243941
20140818,21200,21250,20900,21050,90819,9662,6192119
20140819,21050,21750,20900,21500,276139,20537,6157467
20140820,21600,21700,21100,21250,202178,68522,6120138
20140821,21300,21400,20950,21150,142940,19182,6108070
20140822,21050,21500,21000,21300,142089,40450,6082326
20140825,21500,21700,21350,21450,186456,82146,5992747
20140826,21450,21850,21400,21600,170707,28226,5988021
20140827,21650,22200,21650,21900,176279,66937,5943767
20140828,21900,22150,21700,21900,148313,67432,5916357
20140829,21950,22100,21800,21850,77348,37628,5921336
20140901,21800,21900,21450,21750,79150,16433,5920243
20140902,21750,21850,21350,21600,84690,1746,5918910
20140903,21400,21750,21350,21500,98880,17055,5908845
20140904,21400,21600,21000,21200,165833,-37690,5909867
20140905,21000,21200,20600,20850,272678,-115437,5937978
20140911,20700,21250,20550,20850,165507,-8885,5935636
20140912,20650,21050,20650,20900,139082,4137,5928447
20140915,21000,21300,20950,21150,116722,12650,5919626
20140916,21350,21350,20950,21200,91049,10669,5937007
20140917,21300,21500,21150,21300,64227,15302,5927158
20140918,21300,21350,21050,21100,83722,19363,5900703
20140919,21250,21350,21000,21200,99895,-13452,5922561
20140922,21200,21250,20900,20900,70099,13771,5905785
20140923,21000,21550,20800,21300,157019,-14371,5922088
20140924,21400,21500,20850,21100,145012,-2047,5908238
20140925,21100,21250,20500,20750,178657,2482,5918503
20140926,20750,22200,20400,20800,142036,-4509,5913382
20140929,20800,21300,20700,20850,181585,53038,5883013
20140930,20850,21200,20850,21000,119302,-7645,5848395
20141001,20100,21100,20100,20900,239422,74913,5794388
