date,open,high,low,close,volume,korcom,forvol
20170821,20500,20500,20150,20400,33386,-11709,2513700
20170822,20400,20800,20400,20700,93041,13355,2506123
20170823,20700,20750,20400,20750,71916,-10307,2512160
20170824,20600,20750,20300,20400,76306,-15099,2505724
20170825,20200,20200,19700,19800,278338,-10529,2446850
20170828,19700,19900,19700,19850,54210,-10404,2444098
20170829,19900,19900,19550,19850,59830,-35990,2448573
20170830,19900,19900,19650,19750,76397,-10871,2431614
20170831,19750,20250,19750,20100,289581,20670,2415390
20170901,20150,20250,19900,20200,116382,2204,2424000
20170904,19700,20050,19700,19850,87942,-11369,2461539
20170905,20000,20050,19700,19950,122396,-30405,2510132
20170906,20000,20100,19950,20050,41323,-18536,2531210
20170907,20100,20150,19950,20150,39400,-10738,2551542
20170908,20150,20200,20000,20150,81069,-9389,2593588
20170911,20150,20200,19950,20150,58114,-7274,2645694
20170912,20150,20400,20000,20400,80051,-2433,2680924
20170913,20200,20400,20050,20400,129900,-10586,2706411
20170914,20250,20450,19950,20100,167084,-17191,2729255
20170915,20100,20300,19750,19750,405790,-44129,2753470
20170918,19950,19950,19600,19750,85794,-26316,2826900
20170919,19750,19750,19300,19500,203271,-54004,2769550
20170920,19400,19600,19250,19350,151757,-4385,2704581
20170921,19350,19350,19150,19150,33712,-9770,2660847
20170922,19300,19350,18700,18800,127593,-10509,2649191
20170925,18650,18650,17800,18000,198805,-21969,2602677
20170926,18000,18350,17900,18300,31306,-8339,2601853
20170927,18350,18350,18000,18250,20014,-9070,2585778
20170928,18300,18550,18100,18550,27573,-7197,2519166
20170929,18550,19050,18300,18900,33360,9476,2514315
20171010,19050,19550,18700,19300,77948,-6754,2553986
20171011,19500,19500,18900,19300,31566,584,2550860
20171012,19300,19350,18950,19250,63992,-6080,2548698
20171013,19200,19300,18900,19250,24841,-1460,2550092
20171016,19250,19450,19000,19250,53035,5745,2548204
20171017,19100,19200,18850,19200,29893,-12474,2551689
20171018,19150,19150,18800,19050,27485,-9788,2560310
20171019,18950,19000,18450,18950,142776,-22408,2567828
20171020,18650,18900,18600,18800,76542,-24913,2568186
20171023,18900,19400,18700,18950,123606,-32147,2570146
20171024,18900,19150,18800,19000,55163,3979,2577415
20171025,19000,19100,18650,18950,60155,-12915,2576484
20171026,19000,19050,18700,18750,25346,-3679,2580997
20171027,18750,19000,18750,19000,30085,7455,2581386
20171030,19000,19000,18700,18700,24713,-4700,2581009
20171031,18700,18900,18600,18900,31122,-13607,2583231
20171101,18700,18950,18700,18900,24413,-4606,2583619
20171102,18900,19200,18750,19100,38909,-9698,2588631
20171103,19000,19100,18800,19050,42324,-10157,2587485
20171106,18950,18950,18600,18700,62885,-31091,2586920
20171107,18750,18950,18700,18850,32900,-4050,2586478
20171108,18800,18800,18600,18650,22225,-7827,2590522
20171109,18600,18750,18500,18600,65569,-20327,2591769
20171110,18700,18700,18450,18500,28164,-7597,2587447
20171113,18400,18500,18000,18050,78891,-39584,2588118
20171114,18050,18250,17950,18250,50560,-11383,2590106
20171115,18100,18250,17950,18150,83873,115,2586563
20171116,18200,18600,18000,18450,134764,-50212,2585819
20171117,18200,18350,18150,18300,66571,-13388,2575459
20171120,18400,18450,17950,18100,88492,-54828,2568221
20171121,18050,18100,17850,17850,129194,-86560,2562793
20171122,17900,18100,17850,17900,53092,-36944,2561624
20171123,17950,18000,17750,17900,63743,-38609,2562512
20171124,17900,17900,17700,17850,67309,-32611,2562097
20171127,17850,18000,17650,17850,60865,-10235,2539031
20171128,17800,18000,17700,17900,55850,-4785,2533134
20171129,17850,18150,17750,18150,58077,891,2527328
20171130,18050,18150,17950,18150,30205,-10330,2525116
20171201,18100,18100,17950,18050,17601,2848,2524041
20171204,18100,18250,17900,18250,64198,-10878,2519142
20171205,18150,18250,18050,18250,20389,-1664,2518914
20171206,18250,18250,18050,18200,19896,-5064,2519483
20171207,18200,18200,17850,17900,52400,7356,2513295
20171208,18050,18050,17700,17750,38786,-13533,2512990
20171211,17800,18150,17700,18000,39684,-1742,2516905
20171212,17950,18000,17850,17950,13409,-1630,2516203
20171213,17800,18300,17800,18300,47920,4704,2523505
20171214,18300,18300,18050,18150,22959,3815,2524016
20171215,18350,18750,18250,18750,135529,13038,2578720
20171218,18750,18800,18300,18750,59839,8611,2583481
20171219,18750,18800,18500,18700,44785,12635,2583504
20171220,18700,18750,18500,18700,66493,11065,2574652
20171221,18700,18700,18450,18500,53828,5367,2558862
20171222,18500,18650,18350,18500,62316,9870,2553484
20171226,18550,18650,18500,18550,81193,-6004,2542414
20171227,18100,18100,17900,18000,62310,-20575,2534053
20171228,18000,18200,17900,18150,56672,14604,2512183
20180102,18150,18400,18000,18400,62883,24742,2487895
20180103,18350,18350,18000,18150,68718,18408,2473589
20180104,18200,18500,18150,18300,134091,17515,2426313
20180105,18500,19200,18450,18950,277636,21031,2460429
20180108,18800,19100,18650,18750,67633,-8041,2458233
20180109,18700,19200,18700,18750,71184,7306,2457560
20180110,18750,19050,18750,18800,42588,-16524,2447609
20180111,18800,18900,18500,18600,53920,19001,2404495
20180112,18800,18800,18250,18600,62752,14276,2373790
20180115,18600,18950,18400,18950,161989,-2054,2355186
20180116,18900,18900,18550,18750,101429,-3217,2320540
20180117,18650,18950,18650,18750,110957,77624,2293256
20180118,18750,18900,18700,18750,56632,41631,2254307
20180119,18800,19200,18750,19000,141641,99354,2185297
20180122,19000,19150,18900,19000,228252,137130,2054543
20180123,19000,19400,19000,19250,232231,113513,1944848
20180124,19250,19450,19150,19300,132985,751,1915854
20180125,19150,19400,19150,19350,92226,-6024,1875266
20180126,19350,19500,19250,19400,128946,50795,1834890
20180129,19400,19650,19300,19500,176372,47967,1753114
20180130,19500,19850,19450,19650,140502,39309,1718904
20180131,19650,19700,19300,19400,143383,15768,1629501
20180201,19350,19600,19250,19400,74347,19148,1620198
20180202,19400,19400,19100,19250,67838,30978,1602102
20180205,19000,19150,18650,19050,70650,29850,1595485
20180206,18600,18850,18350,18700,109949,36241,1591177
20180207,18900,18900,18250,18350,95705,42614,1586567
20180208,18350,18700,18350,18600,39600,21447,1577715
20180209,18300,18400,18000,18200,154946,94605,1570535
20180212,18250,18250,17850,17950,110914,26275,1557976
20180213,18000,18150,17750,17800,97947,32544,1555740
20180214,17850,18350,17600,17750,102141,21356,1541829
20180219,18050,18200,17700,17800,168529,-61411,1522470
20180220,17900,17900,17500,17600,146415,-100648,1517913
20180221,17600,17750,17550,17650,65074,-29948,1508157
20180222,17750,17750,17500,17550,56279,-573,1476303
20180223,17600,17700,17500,17650,75362,-16834,1452051
20180226,17750,17750,17550,17700,98958,-72528,1449914
20180227,17750,18350,17750,18050,94486,-3842,1461133
20180228,18050,18100,17800,18050,75525,-27185,1450902
20180302,17800,17950,17350,17950,44817,189,1442863
20180305,17950,17950,17650,17750,46847,11755,1433892
20180306,17900,17900,17550,17900,31132,-288,1423922
20180307,17900,17900,17400,17600,53263,-21594,1425954
20180308,17600,17650,17400,17600,27538,-5038,1428211
20180309,17600,17850,17500,17600,40141,-14765,1435791
20180312,17700,17800,17600,17700,30129,-6018,1439278
20180313,17700,17700,17400,17400,37391,-19579,1439462
20180314,17400,17500,17150,17250,69251,-19211,1433578
20180315,17250,17350,17100,17350,39664,-6663,1435403
20180316,17350,17550,17150,17400,82029,11411,1427043
20180319,17350,17550,17100,17150,41704,5725,1430947
20180320,17150,17350,17100,17250,13191,-672,1432485
20180321,17200,17300,16900,17050,89305,-49527,1431694
20180322,17050,17350,17050,17100,44461,-25065,1443249
20180323,16950,17050,16550,16700,114827,-58917,1449876
20180326,16700,16950,16600,16800,43053,-7884,1455692
20180327,16850,17150,16850,17100,35354,-4331,1461863
20180328,16900,17200,16900,17050,32504,8352,1459219
20180329,17050,17100,16750,16850,30722,-9982,1451576
20180330,16850,16950,16600,16700,110111,-72669,1459118
20180402,16750,16850,16550,16700,85901,-24564,1463658
20180403,16600,16900,16500,16700,88672,-3024,1454812
20180404,16700,16800,16500,16800,43978,-4108,1449123
20180405,16850,16950,16650,16850,62065,-32540,1451564
20180406,16900,16900,16500,16750,51925,-707,1446406
20180409,16750,16850,16650,16800,19896,-4261,1440953
20180410,16800,16850,16600,16750,20634,5838,1435906
20180411,16850,17150,16700,17050,34177,18288,1436672
20180412,17150,17150,16950,17050,11482,-5739,1436133
20180413,17050,17150,16950,17050,24593,2233,1425275
20180416,17100,17100,16850,16850,14020,-358,1416670
20180417,16850,16950,16700,16750,20373,-2804,1408075
20180418,16750,17050,16750,16900,25828,4257,1400977
20180419,17000,17050,16800,16950,59282,-20527,1406117
20180420,16850,17200,16800,17100,40445,-2789,1409713
20180423,17050,17150,17000,17150,25893,6907,1413827
20180424,17150,17350,17150,17200,49731,35386,1410267
20180425,17200,17250,17000,17100,11079,-2611,1410293
20180426,17150,17300,17000,17250,26637,14640,1411451
20180427,17300,17300,17050,17100,17762,-2078,1408882
20180430,17050,17150,16850,17050,18905,-216,1409034
20180502,17000,17050,16750,16900,43027,5083,1398510
20180503,16950,16950,16750,16800,34970,-13386,1396533
20180504,16950,16950,16700,16700,21848,-3943,1396626
20180508,16850,16850,16700,16800,25417,-4458,1390884
20180509,16900,17100,16700,16850,69752,-10619,1390442
20180510,16900,17100,16850,16900,45269,-8524,1383752
20180511,17000,17200,16850,17200,31018,3034,1384403
20180514,17200,17600,17150,17400,72553,11065,1387531
20180515,17500,17500,17100,17250,20568,798,1385127
20180516,17250,17250,16850,16950,36013,-18141,1386512
20180517,17000,17000,16750,16850,43075,-22673,1381771
20180518,16850,17050,16800,16950,31864,13431,1381594
20180521,16900,17050,16850,16900,28788,-11739,1379836
20180523,17000,17400,16450,16800,202220,-95169,1393100
20180524,16750,16750,16550,16700,47658,-33325,1400242
20180525,16700,17100,16450,16650,156051,-32222,1406460
20180528,16550,16700,16500,16600,43092,-5708,1407631
20180529,16700,16700,16500,16700,40180,-9670,1406411
20180530,16650,16650,16150,16200,128283,-29235,1403312
20180531,16300,16300,16150,16300,66101,-27536,1407351
20180601,16250,16350,16200,16350,32346,-3707,1408766
20180604,16400,16400,16200,16300,19487,-8514,1407483
