date,open,high,low,close,volume,roe,roa,eps,bps,sales,margin,net_margin,dps,debt_ratio,run_money,invest_money,financial_money
20190802,36200,36200,35550,35650,277817,7.92,0.88,4388,55423,13688.52,1093.43,828.21,1700.0,804.0,-39480.0,1887.0,38717.0
20190805,35150,35700,35000,35300,303261,7.92,0.88,4388,55423,13688.52,1093.43,828.21,1700.0,804.0,-39480.0,1887.0,38717.0
20190806,34550,36000,33600,35050,388680,7.92,0.88,4388,55423,13688.52,1093.43,828.21,1700.0,804.0,-39480.0,1887.0,38717.0
20190807,34950,35500,34050,34300,232262,7.92,0.88,4388,55423,13688.52,1093.43,828.21,1700.0,804.0,-39480.0,1887.0,38717.0
20190808,35000,35850,34800,35750,387890,7.92,0.88,4388,55423,13688.52,1093.43,828.21,1700.0,804.0,-39480.0,1887.0,38717.0
20190809,36250,36350,35700,36000,199336,7.92,0.88,4388,55423,13688.52,1093.43,828.21,1700.0,804.0,-39480.0,1887.0,38717.0
20190812,35700,36400,35650,35850,145173,7.92,0.88,4388,55423,13688.52,1093.43,828.21,1700.0,804.0,-39480.0,1887.0,38717.0
20190813,35400,35700,35000,35300,150214,7.92,0.88,4388,55423,13688.52,1093.43,828.21,1700.0,804.0,-39480.0,1887.0,38717.0
20190814,35700,36150,34850,35100,247282,7.92,0.88,4388,55423,13688.52,1093.43,828.21,1700.0,804.0,-39480.0,1887.0,38717.0
20190816,34750,35000,33800,34400,274909,7.92,0.88,4388,55423,13688.52,1093.43,828.21,1700.0,804.0,-39480.0,1887.0,38717.0
20190819,34400,35050,34400,34850,142072,7.92,0.88,4388,55423,13688.52,1093.43,828.21,1700.0,804.0,-39480.0,1887.0,38717.0
20190820,34750,35200,34500,34950,150553,7.92,0.88,4388,55423,13688.52,1093.43,828.21,1700.0,804.0,-39480.0,1887.0,38717.0
20190821,34900,35500,34600,35300,192954,7.92,0.88,4388,55423,13688.52,1093.43,828.21,1700.0,804.0,-39480.0,1887.0,38717.0
20190822,35150,35450,34900,35150,171767,7.92,0.88,4388,55423,13688.52,1093.43,828.21,1700.0,804.0,-39480.0,1887.0,38717.0
20190823,34850,35200,34400,34900,177837,7.92,0.88,4388,55423,13688.52,1093.43,828.21,1700.0,804.0,-39480.0,1887.0,38717.0
20190826,34300,34550,34000,34100,130606,7.92,0.88,4388,55423,13688.52,1093.43,828.21,1700.0,804.0,-39480.0,1887.0,38717.0
20190827,34150,34700,34000,34000,309953,7.92,0.88,4388,55423,13688.52,1093.43,828.21,1700.0,804.0,-39480.0,1887.0,38717.0
20190828,34250,34450,34050,34300,92800,7.92,0.88,4388,55423,13688.52,1093.43,828.21,1700.0,804.0,-39480.0,1887.0,38717.0
20190829,34400,34400,33850,34150,150584,7.92,0.88,4388,55423,13688.52,1093.43,828.21,1700.0,804.0,-39480.0,1887.0,38717.0
20190830,34450,35400,34300,35300,229708,7.92,0.88,4388,55423,13688.52,1093.43,828.21,1700.0,804.0,-39480.0,1887.0,38717.0
20190902,34950,35400,34750,35250,103668,7.92,0.88,4388,55423,13688.52,1093.43,828.21,1700.0,804.0,-39480.0,1887.0,38717.0
20190903,35200,35200,34500,34650,154341,7.92,0.88,4388,55423,13688.52,1093.43,828.21,1700.0,804.0,-39480.0,1887.0,38717.0
20190904,34750,35050,34450,35050,146502,7.92,0.88,4388,55423,13688.52,1093.43,828.21,1700.0,804.0,-39480.0,1887.0,38717.0
20190905,34900,35950,34850,35600,314615,7.92,0.88,4388,55423,13688.52,1093.43,828.21,1700.0,804.0,-39480.0,1887.0,38717.0
20190906,35450,35900,34950,35050,150683,7.92,0.88,4388,55423,13688.52,1093.43,828.21,1700.0,804.0,-39480.0,1887.0,38717.0
20190909,35000,35900,35000,35200,168955,7.92,0.88,4388,55423,13688.52,1093.43,828.21,1700.0,804.0,-39480.0,1887.0,38717.0
20190910,35600,35700,35150,35450,131713,7.92,0.88,4388,55423,13688.52,1093.43,828.21,1700.0,804.0,-39480.0,1887.0,38717.0
20190911,35600,36000,35500,35800,261119,7.92,0.88,4388,55423,13688.52,1093.43,828.21,1700.0,804.0,-39480.0,1887.0,38717.0
20190916,36000,36850,35800,36750,227320,7.92,0.88,4388,55423,13688.52,1093.43,828.21,1700.0,804.0,-39480.0,1887.0,38717.0
20190917,36750,36750,36300,36450,128434,7.92,0.88,4388,55423,13688.52,1093.43,828.21,1700.0,804.0,-39480.0,1887.0,38717.0
20190918,36450,36600,36100,36500,122690,7.92,0.88,4388,55423,13688.52,1093.43,828.21,1700.0,804.0,-39480.0,1887.0,38717.0
20190919,36500,36750,35850,35950,154426,7.92,0.88,4388,55423,13688.52,1093.43,828.21,1700.0,804.0,-39480.0,1887.0,38717.0
20190920,35800,36400,35700,36400,178426,7.92,0.88,4388,55423,13688.52,1093.43,828.21,1700.0,804.0,-39480.0,1887.0,38717.0
