date,open,high,low,close,volume,korcom,standard deviation5,standard deviation10,standard deviation20,standard deviation60,standard deviation120,ma5,ma10,ma20,ma60,ma120
20200507,58000,58200,56900,58000,17342,3330,998.7992791347017,3382.487989631257,3557.038796527246,9992.761651148632,10017.087475561728,57120.0,54455.0,51985.0,53747.5,60612.083333333336
20200508,58700,58800,55700,56300,20901,-8285,1052.6157893552613,3128.7737214441863,3440.802958613004,9919.527423499349,10016.550670085437,57000.0,55045.0,52475.0,53629.166666666664,60539.583333333336
20200511,56400,56800,55500,56200,15675,2384,1070.700705145934,2633.647660565039,3385.1329368283314,9835.27025415277,10003.188649611795,56760.0,55670.0,52875.0,53500.833333333336,60444.583333333336
20200512,56000,56200,54800,55800,8987,-1484,945.7272334029512,1966.9519567085777,3332.075179223902,9698.438412388305,9995.459724503258,56860.0,56210.0,53205.0,53325.833333333336,60353.75
20200513,55600,56700,54600,56700,10419,2871,756.3068160475615,858.4287972800666,3324.4134821047755,9448.846012726757,9981.66756240604,56600.0,56790.0,53545.0,53095.833333333336,60267.083333333336
20200514,56300,56900,55700,56200,11863,4105,287.0540018881465,856.5045242143804,3284.912479808252,9189.831752479964,9966.886764222489,56240.0,56680.0,53840.0,52860.833333333336,60173.75
20200515,56600,57600,56200,57400,19786,3869,549.9090833947008,882.0997675998457,3206.0333747483037,8926.446155790238,9946.031444403121,56460.0,56730.0,54240.0,52645.833333333336,60087.916666666664
20200518,57400,60300,57400,58900,16988,-783,1089.954127475097,1087.0142593359585,3196.8969329648403,8686.399770458547,9927.513946589159,57000.0,56880.0,54690.0,52465.833333333336,60022.083333333336
20200519,59500,60100,59000,60000,19847,7063,1412.2322755127786,1297.882891481239,3176.8016541798766,8468.109908159358,9911.347654400432,57840.0,57350.0,55207.5,52312.5,59970.416666666664
20200520,59700,61400,59700,61400,21824,6651,1840.0,1779.578601804287,3287.2585462661737,8258.396190477237,9903.544811146612,58780.0,57690.0,55732.5,52179.166666666664,59944.583333333336
20200521,61700,62200,60700,62200,17775,887,1718.6040847152667,2239.3972403304647,3401.149621819069,8118.082140437416,9889.155387131574,59980.0,58110.0,56282.5,52089.166666666664,59911.25
20200522,61900,62400,60600,61900,10397,2167,1244.829305567635,2410.414902044812,3329.387143304305,8039.871949989146,9869.53870608112,60880.0,58670.0,56857.5,52034.166666666664,59868.75
20200525,61900,63300,61300,63300,14273,3582,1078.1465577554843,2615.262893095014,3213.856717403562,7988.786368334613,9854.756245576158,61760.0,59380.0,57525.0,52000.833333333336,59840.416666666664
20200526,63400,63900,62200,62900,14789,-1151,682.9348431585548,2508.5653270344988,2973.9704100747203,7949.593761458648,9840.46802431165,62340.0,60090.0,58150.0,51974.166666666664,59811.25
20200527,63300,63900,61500,63300,14228,961,574.108003776293,2395.5166457363016,2675.462576826669,7944.800667033059,9825.47601864946,62720.0,60750.0,58770.0,51970.833333333336,59782.916666666664
20200528,63300,63300,60500,62000,13839,-169,614.4916598294886,1867.6455766551912,2741.619047205501,7968.4769125320045,9807.762223177568,62680.0,61330.0,59005.0,51990.833333333336,59744.583333333336
20200529,61900,63400,61400,63400,11486,3671,519.2301994298867,1418.4851074296487,2855.7135710711605,8033.6847692837855,9791.630771210805,62980.0,61930.0,59330.0,52044.166666666664,59715.416666666664
20200601,63400,64000,62700,64000,6297,2828,661.5134163416491,1123.5657524149183,2991.7219122104248,8094.635526418444,9779.82573940127,63120.0,62440.0,59660.0,52090.833333333336,59694.583333333336
20200602,64000,64600,63400,64600,7790,4486,866.2563131083085,960.2083107324692,3000.6457638315123,8150.230526732907,9771.474845678224,63460.0,62900.0,60125.0,52130.833333333336,59680.416666666664
20200603,65000,65500,63500,64700,14374,-4521,987.1170143402452,955.0392662083071,3116.4723647098167,8205.741342025245,9768.267067041914,63740.0,63230.0,60460.0,52170.833333333336,59674.583333333336
20200604,64700,65000,63200,63900,9747,-1112,479.16594202843766,906.6421565312867,3148.725932817907,8269.423725387402,9759.861812759786,64120.0,63400.0,60755.0,52222.5,59658.75
