date,open,high,low,close,volume,korcom,standard deviation5,standard deviation10,standard deviation20,standard deviation60,standard deviation120
20121011,25400,25425,25025,25260,689622,94335,144.33987668001086,217.3252171286158,272.71906332314853,699.2794456120176,698.399415131128
20121010,25750,25750,25445,25445,322974,33424,129.0503777600079,185.16479146965278,277.4584428339775,684.8856149427075,699.6347248842319
20121009,25820,26095,25820,25945,101305,-3551,309.10516009927875,242.67519444722817,328.7548478727819,665.4537925355112,699.0344332640808
20121008,26050,26125,25860,25955,275230,16858,339.16662571662437,286.8017608035209,363.7453607949613,646.8110824566816,698.201678122646
20121005,26390,26390,26100,26110,472146,6393,329.4024893652152,342.0906312660433,409.1267376985488,623.6049096449037,696.2488168252072
20121004,26020,26150,25915,26100,109466,797,243.13370807027303,379.4472954179539,426.2229463553763,593.7209115680772,693.5761981990721
20121002,26005,26220,26005,26125,41925,3861,79.66178506662241,409.78073405176093,451.1443089520898,579.7785975888705,692.009628826676
20120928,26115,26390,26045,26145,306851,-11443,67.72001181335355,419.6319816219922,458.012281494568,572.3018579967759,690.847707932436
20120927,25855,26110,25855,26110,284168,-19641,15.684387141381873,371.5,446.23256268437,570.6578258173297,690.5133959598068
20120926,26000,26000,25760,25950,270454,-2516,69.67065379340677,293.4148087605668,409.64924020417874,564.928529156964,689.9857473869782
20120925,26105,26240,26085,26125,272513,1634,71.37226352022714,200.50935140287098,406.6247502303095,564.2646332961016,690.2110171996922
20120924,26065,26470,25895,26245,205961,-3310,95.02631214564073,94.04254356406997,392.5060509085972,561.0088321248761,690.9459096050465
20120921,26130,26400,26130,26210,396399,-1323,102.40117186829819,89.19781387455636,383.8359024373084,556.6988201790839,691.5602716863839
20120920,26155,26295,26100,26115,64877,2135,102.24480426897371,73.35018745715651,379.0432033421301,553.2006869119878,691.3582444884615
20120919,26235,26450,26180,26340,64634,-600,82.86132994347089,97.5717684578895,391.3095801278878,549.3439205592892,692.2985554878046
20120918,26250,26350,26165,26300,117216,-4513,77.6273147803062,106.11432514038809,401.42402768128386,546.5486153022291,692.3230018487283
20120917,26310,26470,26255,26315,79395,-5750,83.03011501859277,113.72005100245075,402.13834684081627,552.4714673375606,690.7477630960287
20120914,25990,26425,25990,26415,1011027,-98453,99.22701245125113,131.5532211692287,392.96143258577587,564.0771716311968,690.3804695298661
20120913,25525,25645,25415,25555,59207,-3342,317.47440841743565,237.49947368362734,351.01379958609255,561.9278571725749,689.4711326141785
20120912,25195,25625,25195,25620,80327,-4876,372.9530801588864,282.6110401240546,306.5178420579556,560.4949387717822,686.536414375693
20120911,25215,25215,25030,25135,103645,-239,485.3411171536992,409.7316194779212,322.77856186535337,560.3130573368045,686.4903179194635
20120910,25300,25405,25250,25310,81274,-7497,439.7112689026752,453.2331077933297,335.7375276907032,559.54361363119,684.6102449568975
20120907,24950,25300,24950,25295,72273,-346,179.06981878586,479.37980766819953,369.82386010081245,559.5746090160369,680.2048864128678
20120906,24885,24885,24460,24560,22062,235,349.3050242982496,601.5831197764778,481.4784522695325,568.8342367410596,683.5757890497157
20120905,24690,24865,24485,24485,36156,-1300,360.81297094201136,654.5257825326669,569.0133456254463,579.4102605234868,688.4840230535059
20120904,25115,25115,24920,24940,25322,-1374,349.8371049502907,614.0,596.264360413955,581.0640144500292,683.000273253114
20120903,24965,25180,24645,25025,196968,16126,301.1544454262642,530.2348536262022,611.0472056231517,581.9695665486157,680.549123410602
20120831,24875,25055,24830,24965,74220,-1952,225.45509530724902,357.6087247257818,623.0234245193848,583.7962686873119,678.7644565679158
20120830,25235,25235,24875,25005,87605,22565,201.70275159253714,322.2561093292104,628.8161496016629,584.1320959812517,675.0147104878065
20120829,25505,25505,25190,25355,154935,-4448,151.44636014114286,281.26722169495685,625.4064178595072,583.5139898826623,666.9568951588524
20120828,25395,25405,25105,25225,619917,-1072,149.93331851193298,286.5924807108519,615.8536250602574,581.3061442417654,659.6869509576679
20120827,25300,25370,25135,25240,25767,-8951,148.78171930718082,280.12006354418816,595.3694231314365,574.9046780891455,650.0062165834702
20120824,25500,25500,25265,25325,158922,-5024,122.80065146407304,283.30416516528663,571.1586360196779,569.6223102976077,647.0599051349634
20120823,25550,25695,25445,25650,26049,-1140,153.6033853793618,297.5655389993942,551.7843781767101,561.6632294651563,643.9734388392815
20120822,25535,25735,25350,25585,35137,-5712,178.01685313475448,239.6147950356989,510.68452835371687,544.8746734085903,640.9530000427667
20120821,25760,25990,25725,25725,391881,-1395,188.9179716173153,259.0559785065768,471.96954350875006,532.1923928951368,637.5503125570564
20120820,25775,25830,25655,25720,35942,9796,147.22092242613053,266.39679052120727,425.8528942015747,526.4348843873252,634.6301416310134
20120817,26000,26055,25720,25785,61601,1131,68.89121859860475,252.00248014652553,361.0868143533591,518.5893258531123,634.5443452128465
20120816,25880,25980,25825,25945,85164,204,116.60188677719047,239.18037126821255,385.3812235953608,515.1756105660663,634.6498255271171
20120814,25695,25940,25695,25910,512275,-10439,93.73366524360789,250.34775812856802,402.4247600482078,510.833197389767,635.0358900071363
20120813,25790,25810,25620,25630,32334,3352,117.15801295686414,214.8726366943916,406.15144958482904,506.525165273605,635.0275529892298
20120810,25750,25855,25675,25775,305500,-11913,111.77656283855192,167.03293088490065,417.2693225002986,507.4228115902158,635.1061796069486
20120809,25200,25865,25200,25735,762200,-1575,115.64601160438153,108.94494022211403,424.9360981369533,506.668174339761,634.90204707099
20120808,25060,25465,25060,25195,259309,-45230,244.07785643110017,198.08394685082382,384.31952851742886,502.3462382216603,635.8414686569461
20120807,25190,25190,24895,25035,430882,-694,301.2042496380168,281.36675354419543,333.37703880120347,502.8814196429609,637.3293399020108
20120806,24810,25130,24810,24955,88995,-951,348.5742388645505,346.82164003994905,332.26975110572306,497.9710500285777,639.4800934591225
